기본정보,,,,,,,,,,,,,,,,성분 비율 (수분 0%),,,,,,,
급여 대상,브랜드,사료 번호,사료 이름,특정 종 대상,단백질원,주원료,Kcal/100g,동물크기,사료종목,제조국,급여연령,급여시기, 유기농여부,키블크기(mm),기타,조단백질,조회분,오메가3,칼슘,조지방,조섬유,오메가6,인
강아지,로얄캐닌,26,푸들 어덜트,푸들,"닭, 칠면조, 오리","옥수수, 닭, 칠면조, 오리, 밀, 가금류, 쌀, 사탕무박, 대두, 어유, 효모, 보리지유, 녹차, 포도, , 금잔화",387.3,무관,건식(반건식),프랑스,11~max,없음,N,10,,33.33,5.89,0.83,0.89,21.11,2.22,4.87,0.67
강아지,로얄캐닌,27,푸들 퍼피,푸들,"닭, 오리, 칠면조","닭, 오리, 칠면조, 밀, 가금류, 돼지, 옥수수, 쌀, 사탕무박, 어유, 효모, 대두,  차전자피, 가수분해효모, 보리지유, 금잔화추출물, 유카추출물",382,무관,건식(반건식),프랑스,3~10,없음,N,10,,36.67,7.89,0.88,1.33,21.11,1.56,4.38,0.99
강아지,로얄캐닌,28,비숑프리제 어덜트,비숑프리제,"닭, 오리, 칠면조","쌀, 닭, 오리, 칠면조, 옥수수, 밀, 가금류, 대두, 치커리, 어유, 효모,  차전자피, 보리지유, 녹차, 포도, 금잔화추출물",360.6,무관,건식(반건식),프랑스,11~max,없음,N,10,,32.22,8.22,X,X,16.67,1.67,X,X
강아지,로얄캐닌,29,닥스훈트 어덜트,닥스훈트,"닭, 오리, 칠면조","쌀, 닭, 칠면조, 오리, 밀, 대두박(가수분해 대두단백질), 사탕무박, 어유, 보리지유, 금잔화, 녹차, 포도      ",354.2,무관,건식(반건식),프랑스,10~max,없음,N,10,,31.11,7.11,X,X,15.56,3.22,X,X
강아지,로얄캐닌,30,닥스훈트 퍼피,닥스훈트,"닭, 칠면조, 오리","닭, 칠면조, 오리, 쌀, 옥수수, 밀, 사탕무박, 대두, 어유, , 효모, 효모추출물, 금잔화추출물, 유카추출물  ",367.4,무관,건식(반건식),프랑스,3~10,없음,N,10,,33.33,7.67,0.69,1.33,17.78,1.67,3.76,0.98
강아지,로얄캐닌,31,프렌치 불독 어덜트,프렌치 불독,"돼지, 닭, 오리, 칠면조","쌀, 밀, 가금류, 돼지, 닭, 오리, 칠면조, 사탕무박, 대두유, 어유, 금잔화, 녹차, 포도,",383,무관,건식(반건식),프랑스,12~max,없음,N,10,구부러진키블(단두종),28.89,6.11,X,X,20,1.44,X,X
강아지,로얄캐닌,32,포메라니안 어덜트,포메라니안,"닭, 칠면조, 오리","옥수수, 닭, 칠면조, 오리, 밀, 쌀, 돼지, 가금류, 치커리, 어유, 대두유, 차전자피, 보리지유, 금잔화추출물",353,무관,건식(반건식),프랑스,9~max,없음,N,10,,24,5.9,X,0.6,14,2.6,X,0.48
강아지,로얄캐닌,33,미니 코트 케어,전체,"닭, 칠면조, 오리","닭, 칠면조, 오리, 밀, 옥수수, 사탕무박, 대두유, 효모, 보리지유, 금잔화추출물     ",388.1,소형,건식(반건식),프랑스,11~max,없음,N,10,,30,5.9,X,X,1.6,2.4,X,X
강아지,로얄캐닌,34,미니 릴렉스 케어,전체,"닭, 칠면조, 오리","닭, 칠면조, 오리, 쌀, 밀, 옥수수, 밀, 사탕무박, 대두, 효모, 어유, 식물성혼합섬유소, 보리지유, 금잔화추출물   ",363.8,소형,건식(반건식),프랑스,11~max,없음,N,10,,19,5.8,X,0.69,13,3.7,X,0.44
강아지,에이앤에프(ANF),35, 6Free 오리고기,전체,"오리, 연어, 닭","오리, 연어, 닭, 쌀, 옥수수, 현미, 귀리, 보리, 정제계유, 참깨박, 천연향미제, 아마씨, 해바라기씨, 비트펄프, 녹두, 메밀, 고구마, 당근, 호박, 호박씨, 해바라기박, 브로콜리, 파슬리, 바나나, 사과, 오렌지, 망고, 딸기, 로즈마리추출물, 천일염, 유카추출물",356.5,무관,건식(반건식),대한민국,0~max,없음,Y,0,,29.21,8.99,X,1.12,11.24,6.74,X,0.45
강아지,에이앤에프(ANF),36, 6Free 연어,전체,"연어, 닭","연어, 닭고기, 쌀, 현미, 귀리, 보리, 옥수수, 참깨박, 정제계유, 천연향미제, 아마씨, 해바라기씨, 비트펄프, 녹두, 메밀, 고구마, 당근, 호박, 맥반석, 호박씨, 해바라기박, 브로콜리, 파슬리, 바나나, 사과, 오렌지, 망고, 딸기, 로즈마리추출물, 천일염, 유카추출물",357.7,무관,건식(반건식),대한민국,1~max,없음,Y,0,,29.21,8.99,X,1.12,11.24,6.74,X,0.45
강아지,에이앤에프(ANF),37, 6Free 양,전체,"양, 닭, 연어","양, 닭, 연어, 쌀, 옥수수, 현미, 귀리, 보리, 정제계유, 참깨박, 천연향미제, 아마씨, 해바라기씨, 비트펄프, 녹두, 메밀, 고구마, 맥반석, 당근, 호박, 호박씨, 해바라기박, 브로콜리, 파슬리, 바나나, 사과, 오렌지, 망고, 딸기, 로즈마리추출물, 천일염 유카추출물",356.4,무관,건식(반건식),대한민국,2~max,없음,Y,0,,29.21,8.99,X,1.12,11.24,6.74,X,0.45
